"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"AntsAlf100-200.nlogo"
"experiment"
"12/10/2024 22:18:27:974 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","population","diffusion-rate","evaporation-rate","[step]","total-food"
"757","125","0","75","200","43"
"761","125","0","76","200","45"
"762","125","0","76","200","53"
"760","125","0","75","200","60"
"759","125","0","75","200","55"
"764","125","0","76","200","65"
"763","125","0","76","200","62"
"765","125","0","76","200","52"
"766","125","0","76","200","53"
"767","125","0","76","200","52"
"768","125","0","76","200","51"
"769","125","0","76","200","46"
"770","125","0","76","200","59"
"771","125","0","77","200","50"
"772","125","0","77","200","54"
"773","125","0","77","200","53"
"775","125","0","77","200","54"
"776","125","0","77","200","71"
"774","125","0","77","200","61"
"777","125","0","77","200","57"
"778","125","0","77","200","64"
"779","125","0","77","200","64"
"781","125","0","78","200","57"
"782","125","0","78","200","53"
"780","125","0","77","200","56"
"785","125","0","78","200","52"
"784","125","0","78","200","56"
"786","125","0","78","200","51"
"783","125","0","78","200","53"
"787","125","0","78","200","65"
"789","125","0","78","200","48"
"791","125","0","79","200","47"
"790","125","0","78","200","59"
"788","125","0","78","200","55"
"792","125","0","79","200","52"
"793","125","0","79","200","54"
"794","125","0","79","200","55"
"795","125","0","79","200","50"
"796","125","0","79","200","51"
"799","125","0","79","200","47"
"801","125","0","80","200","62"
"800","125","0","79","200","71"
"797","125","0","79","200","62"
"798","125","0","79","200","61"
"802","125","0","80","200","55"
"804","125","0","80","200","67"
"806","125","0","80","200","53"
"805","125","0","80","200","58"
"803","125","0","80","200","65"
"807","125","0","80","200","51"
"809","125","0","80","200","58"
"808","125","0","80","200","61"
"810","125","0","80","200","47"
"811","125","0","81","200","68"
"813","125","0","81","200","51"
"812","125","0","81","200","65"
"814","125","0","81","200","50"
"815","125","0","81","200","59"
"816","125","0","81","200","54"
"819","125","0","81","200","53"
"820","125","0","81","200","50"
"821","125","0","82","200","41"
"818","125","0","81","200","52"
"817","125","0","81","200","52"
"822","125","0","82","200","55"
"824","125","0","82","200","54"
"823","125","0","82","200","61"
"826","125","0","82","200","57"
"825","125","0","82","200","55"
"827","125","0","82","200","56"
"828","125","0","82","200","63"
"830","125","0","82","200","48"
"831","125","0","83","200","55"
"829","125","0","82","200","55"
"832","125","0","83","200","51"
"833","125","0","83","200","59"
"835","125","0","83","200","53"
"834","125","0","83","200","50"
"838","125","0","83","200","50"
"836","125","0","83","200","55"
"839","125","0","83","200","51"
"840","125","0","83","200","50"
"841","125","0","84","200","50"
"842","125","0","84","200","64"
"837","125","0","83","200","56"
"845","125","0","84","200","54"
"844","125","0","84","200","47"
"843","125","0","84","200","63"
"846","125","0","84","200","56"
"847","125","0","84","200","63"
"849","125","0","84","200","51"
"850","125","0","84","200","56"
"851","125","0","85","200","52"
"848","125","0","84","200","60"
"852","125","0","85","200","62"
"854","125","0","85","200","61"
"853","125","0","85","200","50"
"856","125","0","85","200","60"
"855","125","0","85","200","70"
"857","125","0","85","200","63"
"860","125","0","85","200","50"
"859","125","0","85","200","63"
"861","125","0","86","200","70"
"862","125","0","86","200","65"
"858","125","0","85","200","56"
"863","125","0","86","200","48"
"866","125","0","86","200","52"
"865","125","0","86","200","56"
"864","125","0","86","200","61"
"867","125","0","86","200","58"
"868","125","0","86","200","55"
"869","125","0","86","200","52"
"874","125","0","87","200","56"
"875","125","0","87","200","57"
"871","125","0","87","200","57"
"873","125","0","87","200","55"
"872","125","0","87","200","55"
"870","125","0","86","200","50"
"877","125","0","87","200","77"
"876","125","0","87","200","47"
"879","125","0","87","200","53"
"880","125","0","87","200","63"
"881","125","0","88","200","65"
"882","125","0","88","200","60"
"878","125","0","87","200","59"
"883","125","0","88","200","56"
"884","125","0","88","200","56"
"885","125","0","88","200","56"
"886","125","0","88","200","61"
"887","125","0","88","200","53"
"888","125","0","88","200","54"
"889","125","0","88","200","64"
"890","125","0","88","200","50"
"892","125","0","89","200","54"
"891","125","0","89","200","50"
"893","125","0","89","200","52"
"895","125","0","89","200","56"
"894","125","0","89","200","74"
"896","125","0","89","200","64"
"897","125","0","89","200","56"
"898","125","0","89","200","54"
"899","125","0","89","200","50"
"902","125","0","90","200","65"
"901","125","0","90","200","61"
"903","125","0","90","200","65"
"900","125","0","89","200","53"
"907","125","0","90","200","56"
"904","125","0","90","200","56"
"905","125","0","90","200","56"
"906","125","0","90","200","56"
"910","125","0","90","200","55"
"913","125","0","91","200","59"
"912","125","0","91","200","53"
"909","125","0","90","200","52"
"908","125","0","90","200","55"
"911","125","0","91","200","51"
"916","125","0","91","200","55"
"918","125","0","91","200","60"
"917","125","0","91","200","58"
"914","125","0","91","200","45"
"915","125","0","91","200","64"
"919","125","0","91","200","65"
"920","125","0","91","200","60"
"921","125","0","92","200","59"
"922","125","0","92","200","49"
"923","125","0","92","200","58"
"924","125","0","92","200","65"
"925","125","0","92","200","61"
"926","125","0","92","200","57"
"927","125","0","92","200","54"
"929","125","0","92","200","69"
"928","125","0","92","200","49"
"930","125","0","92","200","56"
"931","125","0","93","200","45"
"932","125","0","93","200","60"
"936","125","0","93","200","47"
"935","125","0","93","200","47"
"934","125","0","93","200","59"
"937","125","0","93","200","54"
"938","125","0","93","200","55"
"933","125","0","93","200","50"
"940","125","0","93","200","56"
"942","125","0","94","200","65"
"941","125","0","94","200","56"
"939","125","0","93","200","72"
"943","125","0","94","200","49"
"944","125","0","94","200","51"
"945","125","0","94","200","54"
"946","125","0","94","200","49"
"947","125","0","94","200","49"
"948","125","0","94","200","58"
"949","125","0","94","200","44"
"950","125","0","94","200","58"
"955","125","0","95","200","64"
"951","125","0","95","200","66"
"952","125","0","95","200","62"
